bank_name,deposit_type,interest_rate,from_date
Nepal Bank Ltd.,Savings Rate,5.65%,2024-01-01
Nepal Bank Ltd.,Fixed Rate,6.75%,2024-01-01
Rastriya Banijya Bank,Savings Rate,4.65%,2024-01-01
Rastriya Banijya Bank,Fixed Rate,6.40%,2024-01-01
Nabil Bank,Savings Rate,5.15%,2024-01-01
Nabil Bank,Fixed Rate,6.75%,2024-01-01
Nepal Investment Mega Bank,Savings Rate,4.50%,2024-01-01
Nepal Investment Mega Bank,Fixed Rate,7.00%,2024-01-01
Standard Chartered Bank,Savings Rate,4.55%,2024-01-01
Standard Chartered Bank,Fixed Rate,7.00%,2024-01-01
Himalayan Bank,Savings Rate,5.50%,2024-01-01
Himalayan Bank,Fixed Rate,7.50%,2024-01-01
Nepal SBI Bank,Savings Rate,3.80%,2024-01-01
Nepal SBI Bank,Fixed Rate,6.39%,2024-01-01
Everest Bank,Savings Rate,5.00%,2024-01-01
Everest Bank,Fixed Rate,6.50%,2024-01-01
NIC ASIA Bank,Savings Rate,5.65%,2024-01-01
NIC ASIA Bank,Fixed Rate,7.80%,2024-01-01
Machhapuchhre Bank,Savings Rate,5.30%,2024-01-01
Machhapuchhre Bank,Fixed Rate,7.25%,2024-01-01
Kumari Bank,Savings Rate,5.41%,2024-01-01
Kumari Bank,Fixed Rate,7.26%,2024-01-01
Laxmi Sunrise,Savings Rate,5.25%,2024-01-01
Laxmi Sunrise,Fixed Rate,7.00%,2024-01-01
Siddhartha Bank,Savings Rate,5.25%,2024-01-01
Siddhartha Bank,Fixed Rate,7.00%,2024-01-01
Agriculture Dev. Bank,Savings Rate,4.76%,2024-01-01
Agriculture Dev. Bank,Fixed Rate,5.666%,2024-01-01
Global IME Bank,Savings Rate,4.50%,2024-01-01
Global IME Bank,Fixed Rate,7.50%,2024-01-01
Citizens Bank Int'l,Savings Rate,5.25%,2024-01-01
Citizens Bank Int'l,Fixed Rate,7.00%,2024-01-01
Prime Commercial Bank,Savings Rate,5.25%,2024-01-01
