Bank/FI,Loan Name,Interest Rate,
Nepal Bank Ltd.,Export Finance in NPR,7.85% - 9.85%,
Nepal Bank Ltd.,Trust Receipt (NPR),7.85% - 11.85%,
Nepal Bank Ltd.,WC-Industrial,7.85% - 12.35%,
Nepal Bank Ltd.,Working Capital-Commercial,7.85% - 12.85%,
Nepal Bank Ltd.,Mortgage Loan,7.85% - 12.85%,
Nepal Bank Ltd.,Sajilo Byabasaya Karja,7.85% - 12.85%,
Nepal Bank Ltd.,Sambriddha Byabasaya Karja,7.85% - 12.10%,
Nepal Bank Ltd.,Laghu Udhyam Karja,7.85% - 12.85%,
Nepal Bank Ltd.,Anniversary Business Loan,7.85% - 11.35%,
Nepal Bank Ltd.,85th ann. loan,7.85% - 12.35%,
Nepal Bank Ltd.,Contract Loan,7.85% - 11.51%,
Nepal Bank Ltd.,Growing Enterprises,7.85% - 10.85%,
Nepal Bank Ltd.,Entrepreneurship TL,7.85% - 9.67%,
Nepal Bank Ltd.,Permenent WC,7.85% - 12.85%,
Rastriya Banijya Bank,Overdraft,8.35% - 8.85%,
Rastriya Banijya Bank,Hypothecation,8.35% - 8.85%,
Rastriya Banijya Bank,Trust Receipt (NPR)/ Import Loan,8.35% - 8.85%,
Rastriya Banijya Bank,Export Loan,8.35% - 8.35%,
Sanima Bank,Working Capital/STL,8.41% - 13.41%,
Siddhartha Bank,Working Capital Loan,8.51% - 12.01%,
Global IME Bank,WC Loan-Permanent,8.59% - 12.09%,
Global IME Bank,WC Loan-Fluctuating,8.59% - 12.09%,
Global IME Bank,Small Business Loan,8.59% - 12.09%,
Agriculture Dev. Bank,"Industry, Processing & Mines Loan",8.61% - 11.61%,
Agriculture Dev. Bank,Wholesale Lending,8.61% - 10.61%,
Agriculture Dev. Bank,Business Loan,8.61% - 11.61%,
Agriculture Dev. Bank,Overdraft Loan,8.61% - 13.61%,
Agriculture Dev. Bank,Saral Thekkapatta Karja,8.61% - 11.61%,
Agriculture Dev. Bank,Hypothecation Loan,8.61% - 10.61%,
